total_bill,tip,sex,smoker,time,size,day_Sat,day_Sun,day_Thur
22.76,3.0,1,0,0,2,False,False,True
17.29,2.71,1,0,0,2,False,False,True
19.44,3.0,1,1,0,2,False,False,True
16.66,3.4,1,0,0,2,False,False,True
10.07,1.83,0,0,0,1,False,False,True
32.68,5.0,1,1,0,2,False,False,True
15.98,2.03,1,0,0,2,False,False,True
34.83,5.17,0,0,0,4,False,False,True
13.03,2.0,1,0,0,2,False,False,True
18.28,4.0,1,0,0,2,False,False,True
24.71,5.85,1,0,0,2,False,False,True
21.16,3.0,1,0,0,2,False,False,True
28.97,3.0,1,1,1,2,False,False,False
22.49,3.5,1,0,1,2,False,False,False
5.75,1.0,0,1,1,2,False,False,False
16.32,4.3,0,1,1,2,False,False,False
22.75,3.25,0,0,1,2,False,False,False
40.17,4.73,1,1,1,4,False,False,False
27.28,4.0,1,1,1,2,False,False,False
12.03,1.5,1,1,1,2,False,False,False
21.01,3.0,1,1,1,2,False,False,False
12.46,1.5,1,0,1,2,False,False,False
11.35,2.5,0,1,1,2,False,False,False
15.38,3.0,0,1,1,2,False,False,False
44.3,2.5,0,1,1,3,True,False,False
22.42,3.48,0,1,1,2,True,False,False
20.92,4.08,0,0,1,2,True,False,False
15.36,1.64,1,1,1,2,True,False,False
20.49,4.06,1,1,1,2,True,False,False
25.21,4.29,1,1,1,2,True,False,False
18.24,3.76,1,0,1,2,True,False,False
14.31,4.0,0,1,1,2,True,False,False
14.0,3.0,1,0,1,2,True,False,False
7.25,1.0,0,0,1,1,True,False,False
38.07,4.0,1,0,1,3,False,True,False
23.95,2.55,1,0,1,2,False,True,False
25.71,4.0,0,0,1,3,False,True,False
17.31,3.5,0,0,1,2,False,True,False
29.93,5.07,1,0,1,4,False,True,False
10.65,1.5,0,0,0,2,False,False,True
12.43,1.8,0,0,0,2,False,False,True
24.08,2.92,0,0,0,4,False,False,True
11.69,2.31,1,0,0,2,False,False,True
13.42,1.68,0,0,0,2,False,False,True
14.26,2.5,1,0,0,2,False,False,True
15.95,2.0,1,0,0,2,False,False,True
12.48,2.52,0,0,0,2,False,False,True
29.8,4.2,0,0,0,6,False,False,True
8.52,1.48,1,0,0,2,False,False,True
14.52,2.0,0,0,0,2,False,False,True
11.38,2.0,0,0,0,2,False,False,True
22.82,2.18,1,0,0,3,False,False,True
19.08,1.5,1,0,0,2,False,False,True
20.27,2.83,0,0,0,2,False,False,True
11.17,1.5,0,0,0,2,False,False,True
12.26,2.0,0,0,0,2,False,False,True
18.26,3.25,0,0,0,2,False,False,True
8.51,1.25,0,0,0,2,False,False,True
10.33,2.0,0,0,0,2,False,False,True
14.15,2.0,0,0,0,2,False,False,True
16.0,2.0,1,1,0,2,False,False,True
13.16,2.75,0,0,0,2,False,False,True
17.47,3.5,0,0,0,2,False,False,True
34.3,6.7,1,0,0,6,False,False,True
41.19,5.0,1,0,0,5,False,False,True
27.05,5.0,0,0,0,6,False,False,True
16.43,2.3,0,0,0,2,False,False,True
8.35,1.5,0,0,0,2,False,False,True
18.64,1.36,0,0,0,3,False,False,True
11.87,1.63,0,0,0,2,False,False,True
9.78,1.73,1,0,0,2,False,False,True
7.51,2.0,1,0,0,2,False,False,True
14.07,2.5,1,0,1,2,False,True,False
13.13,2.0,1,0,1,2,False,True,False
17.26,2.74,1,0,1,3,False,True,False
24.55,2.0,1,0,1,4,False,True,False
19.77,2.0,1,0,1,4,False,True,False
29.85,5.14,0,0,1,5,False,True,False
48.17,5.0,1,0,1,6,False,True,False
25.0,3.75,0,0,1,4,False,True,False
13.39,2.61,0,0,1,2,False,True,False
16.49,2.0,1,0,1,4,False,True,False
21.5,3.5,1,0,1,4,False,True,False
12.66,2.5,1,0,1,2,False,True,False
16.21,2.0,0,0,1,3,False,True,False
13.81,2.0,1,0,1,2,False,True,False
17.51,3.0,0,1,1,2,False,True,False
24.52,3.48,1,0,1,3,False,True,False
20.76,2.24,1,0,1,2,False,True,False
31.71,4.5,1,0,1,4,False,True,False
10.59,1.61,0,1,1,2,True,False,False
10.63,2.0,0,1,1,2,True,False,False
50.81,10.0,1,1,1,3,True,False,False
15.81,3.16,1,1,1,2,True,False,False
7.25,5.15,1,1,1,2,False,True,False
31.85,3.18,1,1,1,2,False,True,False
16.82,4.0,1,1,1,2,False,True,False
32.9,3.11,1,1,1,2,False,True,False
17.89,2.0,1,1,1,2,False,True,False
14.48,2.0,1,1,1,2,False,True,False
9.6,4.0,0,1,1,2,False,True,False
34.63,3.55,1,1,1,2,False,True,False
34.65,3.68,1,1,1,4,False,True,False
23.33,5.65,1,1,1,2,False,True,False
45.35,3.5,1,1,1,3,False,True,False
23.17,6.5,1,1,1,4,False,True,False
40.55,3.0,1,1,1,2,False,True,False
20.69,5.0,1,0,1,5,False,True,False
20.9,3.5,0,1,1,3,False,True,False
30.46,2.0,1,1,1,5,False,True,False
18.15,3.5,0,1,1,3,False,True,False
23.1,4.0,1,1,1,3,False,True,False
15.69,1.5,1,1,1,2,False,True,False
19.81,4.19,0,1,0,2,False,False,True
28.44,2.56,1,1,0,2,False,False,True
15.48,2.02,1,1,0,2,False,False,True
16.58,4.0,1,1,0,2,False,False,True
7.56,1.44,1,0,0,2,False,False,True
10.34,2.0,1,1,0,2,False,False,True
43.11,5.0,0,1,0,4,False,False,True
13.0,2.0,0,1,0,2,False,False,True
13.51,2.0,1,1,0,2,False,False,True
18.71,4.0,1,1,0,3,False,False,True
12.74,2.01,0,1,0,2,False,False,True
13.0,2.0,0,1,0,2,False,False,True
16.4,2.5,0,1,0,2,False,False,True
20.53,4.0,1,1,0,4,False,False,True
16.47,3.23,0,1,0,3,False,False,True
26.59,3.41,1,1,1,3,True,False,False
38.73,3.0,1,1,1,4,True,False,False
24.27,2.03,1,1,1,2,True,False,False
12.76,2.23,0,1,1,2,True,False,False
30.06,2.0,1,1,1,3,True,False,False
25.89,5.16,1,1,1,4,True,False,False
48.33,9.0,1,0,1,4,True,False,False
13.27,2.5,0,1,1,2,True,False,False
28.17,6.5,0,1,1,3,True,False,False
12.9,1.1,0,1,1,2,True,False,False
28.15,3.0,1,1,1,5,True,False,False
11.59,1.5,1,1,1,2,True,False,False
7.74,1.44,1,1,1,2,True,False,False
30.14,3.09,0,1,1,4,True,False,False
12.16,2.2,1,1,0,2,False,False,False
13.42,3.48,0,1,0,2,False,False,False
8.58,1.92,1,1,0,1,False,False,False
15.98,3.0,0,0,0,3,False,False,False
13.42,1.58,1,1,0,2,False,False,False
16.27,2.5,0,1,0,2,False,False,False
10.09,2.0,0,1,0,2,False,False,False
20.45,3.0,1,0,1,4,True,False,False
13.28,2.72,1,0,1,2,True,False,False
22.12,2.88,0,1,1,2,True,False,False
24.01,2.0,1,1,1,4,True,False,False
15.69,3.0,1,1,1,3,True,False,False
11.61,3.39,1,0,1,2,True,False,False
10.77,1.47,1,0,1,2,True,False,False
15.53,3.0,1,1,1,2,True,False,False
10.07,1.25,1,0,1,2,True,False,False
12.6,1.0,1,1,1,2,True,False,False
32.83,1.17,1,1,1,2,True,False,False
35.83,4.67,0,0,1,3,True,False,False
29.03,5.92,1,0,1,3,True,False,False
27.18,2.0,0,1,1,2,True,False,False
22.67,2.0,1,1,1,2,True,False,False
17.82,1.75,1,0,1,2,True,False,False
18.78,3.0,0,0,1,2,False,False,True
